Date,Price,Open,High,Low,Vol.,Change %
"Nov 04, 2019",9396.4,9198.7,9500.4,9134.1,681.01K,2.15%
"Nov 05, 2019",9310.8,9396.1,9452.7,9193.9,653.42K,-0.91%
"Nov 06, 2019",9338.9,9311.2,9424.6,9262.7,578.03K,0.30%
"Nov 07, 2019",9223.5,9339.2,9367,9130,603.54K,-1.24%
"Nov 08, 2019",8778.2,9223.6,9254.8,8722.4,791.79K,-4.83%
"Nov 09, 2019",8804.5,8778.1,8877.5,8746.9,512.02K,0.30%
"Nov 10, 2019",9036.8,8804.7,9092.9,8763.5,581.57K,2.64%
"Nov 11, 2019",8736.9,9036.9,9066.4,8649.4,601.16K,-3.32%
"Nov 12, 2019",8812.6,8737.4,8841.2,8615.7,575.16K,0.87%
"Nov 13, 2019",8783.1,8813.2,8829.7,8721.1,454.33K,-0.33%
"Nov 14, 2019",8661.2,8782.9,8799.8,8615.8,515.43K,-1.39%
"Nov 15, 2019",8476.3,8660.8,8761.8,8437.1,653.71K,-2.13%
"Nov 16, 2019",8497.3,8476.2,8532.8,8450.7,471.16K,0.25%
"Nov 17, 2019",8509.8,8497.4,8631.7,8413,531.22K,0.15%
"Nov 18, 2019",8208.4,8510.3,8516.3,8110.4,692.60K,-3.54%
"Nov 19, 2019",8145.7,8207.7,8245.6,8032.8,654.27K,-0.76%
"Nov 20, 2019",8099.3,8145.7,8223,8074.2,607.27K,-0.57%
"Nov 21, 2019",7627.9,8099.4,8129.6,7519.7,891.50K,-5.82%
"Nov 22, 2019",7272.5,7627.9,7700.9,6818.5,1.41M,-4.66%
"Nov 23, 2019",7324.1,7271.6,7342.5,7093.7,783.18K,0.71%
"Nov 24, 2019",6924.7,7325,7344.1,6894.9,904.50K,-5.45%
"Nov 25, 2019",7115.6,6924.7,7352.8,6534.8,1.29M,2.76%
"Nov 26, 2019",7162.8,7115.5,7329.5,7045.1,844.27K,0.66%
"Nov 27, 2019",7510.6,7162.8,7636.9,6875.4,996.49K,4.86%
"Nov 28, 2019",7426.7,7510.6,7639.5,7380.6,737.58K,-1.12%
"Nov 29, 2019",7742.7,7426.6,7825.3,7412.3,766.71K,4.26%
"Nov 30, 2019",7546.6,7742.7,7787.7,7472.7,650.60K,-2.53%
"Dec 01, 2019",7396.4,7546.5,7546.5,7244.4,777.00K,-1.99%
"Dec 02, 2019",7298.2,7395.9,7433.8,7173.6,687.78K,-1.33%
"Dec 03, 2019",7291.8,7298.1,7389.4,7227.1,548.77K,-0.09%
"Dec 04, 2019",7204.4,7291.9,7702.2,7113.6,971.75K,-1.20%
"Dec 05, 2019",7399.2,7204.6,7476.3,7184,780.78K,2.70%
"Dec 06, 2019",7530.8,7399.2,7552.1,7329.8,706.10K,1.78%
"Dec 07, 2019",7510.9,7530.4,7595.7,7489.6,557.14K,-0.26%
"Dec 08, 2019",7524.4,7510.8,7576.4,7416.7,499.04K,0.18%
